,dataset,data,n_mics,target,thr_smpl,mean_f,mean_p,mean_r,mean_e
107,011110,real,6.0,1.0,5.0,0.19047619047619044,0.19047619047619044,0.19047619047619044,2.6332506339170836
108,011110,synt,2.0,2.0,1.0,0.18010752688172038,0.11422413793103448,0.42857142857142855,0.43461165445044136
109,011110,synt,2.0,2.0,3.0,0.18010752688172038,0.11422413793103448,0.42857142857142855,0.43461165445044136
110,011110,synt,2.0,2.0,5.0,0.18010752688172038,0.11422413793103448,0.42857142857142855,0.43461165445044136
111,011110,real,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.12968451309485118
112,011110,real,2.0,2.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6869522794130485
113,011110,real,2.0,2.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6869522794130485
114,011110,synt,4.0,2.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21144921702322486
115,011110,synt,4.0,2.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.9401764079303774
116,011110,synt,4.0,2.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7238743610820022
117,011110,real,4.0,2.0,1.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.2182714599379617
118,011110,real,4.0,2.0,3.0,0.24999999999999997,0.24999999999999997,0.24999999999999997,0.57007329298825
119,011110,real,4.0,2.0,5.0,0.24999999999999997,0.24999999999999997,0.24999999999999997,1.7269065606370264
120,011110,synt,6.0,2.0,1.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,0.657586941642052
121,011110,synt,6.0,2.0,3.0,0.3095238095238095,0.3095238095238095,0.3095238095238095,1.4673688030796674
122,011110,synt,6.0,2.0,5.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,2.1188252149756774
123,011110,real,6.0,2.0,1.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.3735961552322351
124,011110,real,6.0,2.0,3.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,1.390725491182407
125,011110,real,6.0,2.0,5.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.510309156226411
126,011110,synt,2.0,3.0,1.0,0.6512820512820512,0.6666666666666667,0.6428571428571428,0.23522212206292942
127,011110,synt,2.0,3.0,3.0,0.7179487179487178,0.7291666666666667,0.7142857142857143,0.690286686763227
128,011110,synt,2.0,3.0,5.0,0.7179487179487178,0.7291666666666667,0.7142857142857143,0.690286686763227
129,011110,real,2.0,3.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.08563967671246075
130,011110,real,2.0,3.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.8507608732250331
131,011110,real,2.0,3.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.80336561108503
132,011110,synt,4.0,3.0,1.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.564752085489421
133,011110,synt,4.0,3.0,3.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.564752085489421
134,011110,synt,4.0,3.0,5.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.564752085489421
135,011110,real,4.0,3.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.358443841771134
136,011110,real,4.0,3.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9721733142854546
137,011110,real,4.0,3.0,5.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9721733142854546
138,011110,synt,6.0,3.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3366213069374687
139,011110,synt,6.0,3.0,3.0,0.26190476190476186,0.26190476190476186,0.26190476190476186,0.8663070775838061
140,011110,synt,6.0,3.0,5.0,0.28571428571428564,0.28571428571428564,0.28571428571428564,1.0735684666966383
141,011110,real,6.0,3.0,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.3897305623197429
142,011110,real,6.0,3.0,3.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,1.439229954038507
143,011110,real,6.0,3.0,5.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,2.6374053998483284
144,011111,synt,2.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.19287815826297922
145,011111,synt,2.0,0.0,3.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.19287815826297922
146,011111,synt,2.0,0.0,5.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.19287815826297922
147,011111,real,2.0,0.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
148,011111,real,2.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.3293644167451717
149,011111,real,2.0,0.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.4704758265984923
150,011111,synt,4.0,0.0,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.20941582182488702
151,011111,synt,4.0,0.0,3.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.20941582182488702
152,011111,synt,4.0,0.0,5.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.20941582182488702
153,011111,real,4.0,0.0,1.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.2683318609791201
154,011111,real,4.0,0.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.7718180385173394
155,011111,real,4.0,0.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,2.274046618330504
156,011111,synt,6.0,0.0,1.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.19349097370727475
157,011111,synt,6.0,0.0,3.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.19349097370727475
158,011111,synt,6.0,0.0,5.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.19349097370727475
159,011111,real,6.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.550049812425069
160,011111,real,6.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.485518649479317
161,011111,real,6.0,0.0,5.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,3.05022952020911
162,011111,synt,2.0,1.0,1.0,0.14835164835164832,0.15476190476190477,0.14285714285714285,0.08383863743431164
163,011111,synt,2.0,1.0,3.0,0.22527472527472525,0.23809523809523808,0.21428571428571427,0.6357018779139906
164,011111,synt,2.0,1.0,5.0,0.37362637362637363,0.39285714285714285,0.3571428571428571,2.808811198926932
165,011111,real,2.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.30668850831349814
166,011111,real,2.0,1.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.3816554750046972
167,011111,real,2.0,1.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.3816554750046972
168,011111,synt,4.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0863305256268525
169,011111,synt,4.0,1.0,3.0,0.24999999999999997,0.24999999999999997,0.24999999999999997,1.2908797923097892
170,011111,synt,4.0,1.0,5.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,2.9234540103968434
171,011111,real,4.0,1.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.3464546767662
172,011111,real,4.0,1.0,3.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,1.3860597283836888
173,011111,real,4.0,1.0,5.0,0.21428571428571425,0.21428571428571425,0.21428571428571425,2.4066016884781045
174,011111,synt,6.0,1.0,1.0,0.12087912087912085,0.12301587301587302,0.11904761904761903,0.22489765853250784
175,011111,synt,6.0,1.0,3.0,0.2417582417582417,0.24603174603174596,0.23809523809523805,1.7281923096462197
176,011111,synt,6.0,1.0,5.0,0.4084249084249085,0.41269841269841273,0.4047619047619048,2.956266691468358
177,011111,real,6.0,1.0,1.0,0.11904761904761903,0.11904761904761903,0.11904761904761903,0.3728544399837813
178,011111,real,6.0,1.0,3.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,1.5407744657607776
179,011111,real,6.0,1.0,5.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,2.5993350642320734
180,011111,synt,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7501789302855463
181,011111,synt,2.0,2.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.2325706898966393
182,011111,synt,2.0,2.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.2325706898966393
183,011111,real,2.0,2.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.18293184873472318
184,011111,real,2.0,2.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.9047174314256694
185,011111,real,2.0,2.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.617215148968672
186,011111,synt,4.0,2.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.09535827069736295
187,011111,synt,4.0,2.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.9380374457159766
188,011111,synt,4.0,2.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.9015677347676565
189,011111,real,4.0,2.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.39667684833232403
190,011111,real,4.0,2.0,3.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,0.6269793971495462
191,011111,real,4.0,2.0,5.0,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.9889516444399495
192,011111,synt,6.0,2.0,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.3587800575634361
193,011111,synt,6.0,2.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.4828689384873268
194,011111,synt,6.0,2.0,5.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,2.3860117448628326
195,011111,real,6.0,2.0,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.5958303599826777
196,011111,real,6.0,2.0,3.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,1.0780664185648012
197,011111,real,6.0,2.0,5.0,0.14285714285714282,0.14285714285714282,0.14285714285714282,1.0780664185648012
198,011111,synt,2.0,3.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.16424336839906054
199,011111,synt,2.0,3.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.3823412460416293
200,011111,synt,2.0,3.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.3823412460416293
201,011111,real,2.0,3.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6556363278625704
202,011111,real,2.0,3.0,3.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.4504820829560638
203,011111,real,2.0,3.0,5.0,0.3571428571428571,0.3571428571428571,0.3571428571428571,3.462176765856257
